"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Dync1i1",2.60497690438076e-40,2.06581711604222,0.875,0.47,8.41016793579328e-36
"Ccdc124",2.6770196768668e-40,1.46827756206022,0.969,0.718,8.64275802676446e-36
"Wsb2",2.76849865361512e-40,1.33710896366208,0.966,0.823,8.93809790319642e-36
"Clta",2.81423873388579e-40,1.11454322638389,0.997,0.912,9.08576975235027e-36
"Eif1b",2.89795435000735e-40,1.39249766561386,0.975,0.779,9.35604561899874e-36
"Adcy2",2.96974956572039e-40,2.1701250142808,0.871,0.381,9.58783647292827e-36
"Kifap3",3.07569927483992e-40,1.3847325075153,0.969,0.768,9.92989510882068e-36
"mt-Co2",3.31744834217726e-40,0.742398445538914,1,1,1.07103819727193e-35
"Amph",4.37579197989449e-40,1.86850408166453,0.893,0.552,1.41272444070894e-35
"Cep170b",4.97352946529422e-40,2.03108165653411,0.881,0.453,1.60570398787024e-35
"Mdh2",5.59326449168237e-40,1.08649227814369,1,0.928,1.80578544113965e-35
"Itm2b",5.84213859275001e-40,0.844333607046845,1,1,1.88613444466934e-35
"Pink1",6.71870168298363e-40,0.983124465094929,0.997,0.983,2.16913283835126e-35
"Ndufa5",7.20810894947665e-40,0.973141529443934,0.997,0.961,2.32713797433854e-35
"Rpl41",7.26320671509258e-40,0.681434357696947,1,1,2.34492628796764e-35
"Tcf4",7.41835020457458e-40,1.65551912070778,0.922,0.663,2.3950143635469e-35
"Actr1b",9.055818519858e-40,1.45170861912627,0.953,0.79,2.92367100913615e-35
"Vdac1",9.43838111100848e-40,1.07754075126694,0.997,0.934,3.04718134168909e-35
"Aak1",1.06457036910951e-39,1.47684448262008,0.975,0.702,3.43696543667006e-35
"Zfr",1.19632290068972e-39,1.38851303951918,0.956,0.79,3.86232848487677e-35
"Rps3a1",1.20755020598673e-39,0.745392635903757,1,1,3.89857584002817e-35
"Rpl7a",1.21401098250504e-39,0.897922578332722,1,0.967,3.91943445701751e-35
"Ppme1",1.24712706796031e-39,1.5858641529492,0.95,0.663,4.02634973890986e-35
"Klhdc3",1.29350601829042e-39,1.59213277432533,0.922,0.624,4.17608418005063e-35
"Gabarapl1",1.33612938701175e-39,1.08532748121656,0.991,0.928,4.31369372596743e-35
"Scg5",1.39794995543668e-39,1.18243327331834,0.994,0.884,4.51328143112731e-35
"Psd",1.41782109376381e-39,1.37909017382678,0.944,0.845,4.57743540121645e-35
"Olfm2",1.47000424397219e-39,2.81649032356766,0.762,0.276,4.74590870166421e-35
"Eif4g2",1.56689258783371e-39,1.00948045928636,1,0.956,5.05871271982114e-35
"Osbpl1a",1.74617201998367e-39,1.78900223022887,0.909,0.702,5.63751636651726e-35
"Atp5c1",1.79985362268922e-39,1.02893865934058,0.991,0.95,5.81082742085213e-35
"Rps14",1.81344148859136e-39,0.677072434186115,1,1,5.8546958459172e-35
"Rpl8",2.07547536271137e-39,0.825954994051545,1,0.989,6.70067220851367e-35
"Rps21",2.15481271373911e-39,0.675863412575765,1,1,6.95681284630672e-35
"Abhd12",2.92759065412801e-39,1.26551501481289,0.991,0.884,9.45172642685227e-35
"Dctn1",3.10173308981512e-39,1.18026326282013,0.987,0.884,1.00139452804681e-34
"Cspg5",3.24969498980355e-39,1.1977140912583,0.975,0.884,1.04916402745808e-34
"Cpne6",3.54633698635396e-39,2.39058632787153,0.837,0.387,1.14493489604438e-34
"Gda",4.05327928754294e-39,1.90775895192867,0.897,0.519,1.30860121798324e-34
"Ccl27a",4.22982590358721e-39,1.73635259435206,0.906,0.729,1.36559929297313e-34
